date,views,unique_views,clones,unique_clones
2026-04-01,37,26,4,3
2026-04-02,38,27,4,3
2026-04-03,40,28,3,3
2026-04-04,24,17,2,1
2026-04-05,34,22,3,2
2026-04-06,44,33,4,3
2026-04-07,46,31,3,2
2026-04-08,42,32,2,2
2026-04-09,47,36,4,3
2026-04-10,50,36,4,3
2026-04-11,35,26,3,2
2026-04-12,29,21,2,2
2026-04-13,46,32,3,3
2026-04-14,48,33,5,4
2026-04-15,42,29,3,3
2026-04-16,42,32,3,2
2026-04-17,79,56,8,6
2026-04-18,101,74,11,8
2026-04-19,123,91,15,11
2026-04-20,106,75,11,9
2026-04-21,78,55,8,6
2026-04-22,46,32,5,4
2026-04-23,44,32,3,2
2026-04-24,40,26,3,3
2026-04-25,34,24,4,3
2026-04-26,27,20,3,2
2026-04-27,45,29,3,2
2026-04-28,43,29,2,2
2026-04-29,40,27,2,1
2026-04-30,45,28,3,2
2026-05-01,46,31,3,2
2026-05-02,35,21,4,3
2026-05-03,28,18,3,3
2026-05-04,43,26,3,2
2026-05-05,49,29,4,3
2026-05-06,49,32,3,2
2026-05-07,45,25,4,3
2026-05-08,52,31,4,3
2026-05-09,40,24,3,3
2026-05-10,35,19,2,2
2026-05-11,60,37,4,3
2026-05-12,56,31,4,3
2026-05-13,58,32,4,3
2026-05-14,65,40,6,4
2026-05-15,60,36,6,5
2026-05-16,50,31,5,4
2026-05-17,42,26,4,3
2026-05-18,62,35,5,4
2026-05-19,64,38,5,4
2026-05-20,64,39,5,4
2026-05-21,66,40,5,4
2026-05-22,65,41,6,4
2026-05-23,96,62,9,7
2026-05-24,140,90,15,11
2026-05-25,199,125,24,20
2026-05-26,158,103,18,15
2026-05-27,114,76,11,9
2026-05-28,70,48,5,4
2026-05-29,68,44,5,4
2026-05-30,49,35,4,3
2026-05-31,42,29,3,2
2026-06-01,63,46,4,3
2026-06-02,70,50,6,5
2026-06-03,66,47,5,4
2026-06-04,63,44,5,4
2026-06-05,66,47,5,4
2026-06-06,43,29,4,3
2026-06-07,46,32,4,3
2026-06-08,67,50,5,4
2026-06-09,76,56,7,6
2026-06-10,77,58,6,5
2026-06-11,74,57,5,4
2026-06-12,82,61,6,5
2026-06-13,53,38,4,3
2026-06-14,85,61,9,8
2026-06-15,144,103,14,11
2026-06-16,173,126,19,16
2026-06-17,143,104,14,12
2026-06-18,123,90,12,9
2026-06-19,95,67,8,7
2026-06-20,74,54,7,5
2026-06-21,71,47,6,5
2026-06-22,104,70,8,6
2026-06-23,99,68,8,7
2026-06-24,108,72,9,7
2026-06-25,104,66,9,8
2026-06-26,112,71,8,7
2026-06-27,73,47,6,5
2026-06-28,77,49,7,6
2026-06-29,106,68,8,6
