date,views,unique_views,clones,unique_clones
2026-04-01,23,13,3,2
2026-04-02,25,19,4,3
2026-04-03,24,17,3,2
2026-04-04,14,8,1,1
2026-04-05,20,12,3,2
2026-04-06,27,17,4,3
2026-04-07,27,18,5,4
2026-04-08,28,22,5,4
2026-04-09,32,23,5,4
2026-04-10,24,18,3,2
2026-04-11,23,16,3,2
2026-04-12,21,17,3,2
2026-04-13,43,33,7,5
2026-04-14,69,51,14,11
2026-04-15,83,61,16,14
2026-04-16,66,51,12,9
2026-04-17,49,34,9,8
2026-04-18,17,13,3,3
2026-04-19,23,15,5,4
2026-04-20,21,13,4,3
2026-04-21,22,15,4,3
2026-04-22,19,16,4,3
2026-04-23,20,14,2,2
2026-04-24,25,17,3,2
2026-04-25,20,13,4,3
2026-04-26,15,9,2,2
2026-04-27,27,17,5,4
2026-04-28,20,13,2,1
2026-04-29,17,12,3,2
2026-04-30,23,14,4,3
2026-05-01,23,13,4,3
2026-05-02,21,12,3,2
2026-05-03,15,11,3,2
2026-05-04,22,12,3,2
2026-05-05,27,18,4,3
2026-05-06,21,13,3,2
2026-05-07,23,16,5,4
2026-05-08,25,13,4,3
2026-05-09,16,10,2,2
2026-05-10,17,11,3,3
2026-05-11,53,31,10,8
2026-05-12,79,48,14,11
2026-05-13,99,55,19,14
2026-05-14,79,47,16,13
2026-05-15,59,35,10,8
2026-05-16,23,13,3,3
2026-05-17,20,13,2,2
2026-05-18,38,23,7,6
2026-05-19,36,21,6,5
2026-05-20,32,18,5,4
2026-05-21,35,19,5,4
2026-05-22,28,15,4,3
2026-05-23,22,16,4,3
2026-05-24,19,12,2,2
2026-05-25,36,21,5,4
2026-05-26,36,23,5,4
2026-05-27,36,26,5,4
2026-05-28,28,17,4,3
2026-05-29,30,21,6,5
2026-05-30,17,10,3,2
2026-05-31,22,13,3,2
2026-06-01,28,19,5,4
2026-06-02,34,23,6,5
2026-06-03,31,22,5,4
2026-06-04,33,24,5,4
2026-06-05,35,24,5,4
2026-06-06,21,13,3,2
2026-06-07,20,17,3,2
2026-06-08,64,45,11,9
2026-06-09,97,71,19,15
2026-06-10,126,93,24,18
2026-06-11,94,71,19,15
2026-06-12,61,47,12,10
2026-06-13,30,21,6,5
2026-06-14,31,24,6,5
2026-06-15,33,25,6,5
2026-06-16,34,26,5,4
2026-06-17,45,32,8,6
2026-06-18,37,28,7,6
2026-06-19,38,25,6,5
2026-06-20,36,25,5,4
2026-06-21,34,26,5,4
2026-06-22,44,30,7,5
2026-06-23,47,34,8,6
2026-06-24,45,28,7,6
2026-06-25,48,31,7,6
2026-06-26,42,25,7,5
2026-06-27,32,19,6,5
2026-06-28,28,16,5,4
2026-06-29,50,29,8,6
