date,views,unique_views,clones,unique_clones
2026-04-01,11,9,2,2
2026-04-02,12,10,2,2
2026-04-03,9,8,3,3
2026-04-04,7,7,2,2
2026-04-05,6,5,1,1
2026-04-06,2,1,0,0
2026-04-07,7,6,2,2
2026-04-08,13,11,4,3
2026-04-09,12,8,3,2
2026-04-10,3,3,2,1
2026-04-11,10,6,1,1
2026-04-12,3,1,1,1
2026-04-13,6,4,2,2
2026-04-14,7,7,1,1
2026-04-15,6,5,1,1
2026-04-16,13,8,3,2
2026-04-17,12,7,2,2
2026-04-18,7,4,1,1
2026-04-19,2,1,1,1
2026-04-20,12,8,3,2
2026-04-21,2,2,0,0
2026-04-22,4,2,0,0
2026-04-23,11,10,3,2
2026-04-24,6,4,1,1
2026-04-25,3,1,0,0
2026-04-26,2,1,1,1
2026-04-27,4,4,2,2
2026-04-28,6,6,1,1
2026-04-29,21,13,6,5
2026-04-30,34,20,10,8
2026-05-01,36,23,10,8
2026-05-02,28,20,7,5
2026-05-03,21,13,6,5
2026-05-04,8,3,3,2
2026-05-05,10,5,3,2
2026-05-06,3,2,1,1
2026-05-07,4,1,1,1
2026-05-08,9,7,2,2
2026-05-09,2,1,1,1
2026-05-10,3,1,0,0
2026-05-11,4,1,2,2
2026-05-12,4,2,1,1
2026-05-13,4,2,1,1
2026-05-14,5,3,2,2
2026-05-15,12,5,3,2
2026-05-16,5,2,1,1
2026-05-17,10,4,2,2
2026-05-18,8,4,3,2
2026-05-19,11,9,3,2
2026-05-20,5,2,1,1
2026-05-21,9,4,3,2
2026-05-22,6,6,2,1
2026-05-23,8,5,1,1
2026-05-24,3,3,1,1
2026-05-25,4,4,1,1
2026-05-26,14,8,3,2
2026-05-27,8,7,2,2
2026-05-28,8,5,2,2
2026-05-29,12,9,3,2
2026-05-30,10,9,1,1
2026-05-31,10,9,2,2
2026-06-01,8,8,1,1
2026-06-02,22,17,7,6
2026-06-03,42,30,11,9
2026-06-04,56,39,16,13
2026-06-05,44,31,11,9
2026-06-06,18,12,6,4
2026-06-07,5,2,0,0
2026-06-08,4,4,1,1
2026-06-09,8,7,2,2
2026-06-10,14,9,4,3
2026-06-11,10,6,3,2
2026-06-12,9,8,3,2
2026-06-13,10,7,3,2
2026-06-14,10,8,2,2
2026-06-15,10,9,3,2
2026-06-16,8,7,2,2
2026-06-17,13,11,2,2
2026-06-18,6,3,1,1
2026-06-19,7,4,1,1
2026-06-20,7,4,3,2
2026-06-21,6,2,2,2
2026-06-22,15,10,3,2
2026-06-23,8,7,2,2
2026-06-24,14,11,4,3
2026-06-25,13,10,2,2
2026-06-26,10,4,3,2
2026-06-27,9,8,1,1
2026-06-28,5,3,1,1
2026-06-29,14,9,3,3
